id,buyerName,lenderName,address,recordingDate,saleValue,loanAmount
632,CALEBHOUSE LLC,JPMORGAN CHASE BANK NA,3206 DERONDA DR,2025-01-06,3925000,2000000
633,FVR GROUP SIX LLC,ANCHOR LOANS LP,2843 STONER AVE,2025-01-03,1202500,1073797
634,RIDGELEY HOLDINGS LLC,ORCHARD FUNDING,2911 S RIDGELEY DR,2025-01-02,885000,1048770
635,REY REYES INVESTMENTS AND ACQUISITIONS LLC,NCL EAGLEPOINT INVESTMENTS LLC,5113 5TH AVE,2024-12-31,545000,460000
636,MISTY ACRES LLC,DANCO INC,2051 W 30TH ST,2024-12-31,714000,580000
637,PWNE CAP LLC,KIAVI FUNDING INC,3540 S SYCAMORE AVE,2024-12-31,998000,997800
638,REDWOOD AVE LLC,ARIXA ENHANCED INCOME FUND LP,3517 REDWOOD AVE,2024-12-31,1370000,2142000
639,CATALINA ESTATES LLC,CENTER STREET LNDG VIII SPE LL,207 S ARDMORE AVE,2024-12-31,1034000,1246275
640,CLAMHOR 2 LLC,SPRCO CAPITAL MANAGER LLC,2795 LA CASTANA DR,2024-12-31,2175000,2815000
641,CTRAIN ENTERPRISES INC,KNISLEY MICHELLE,1123 W 81ST ST,2024-12-31,640000,710000
642,SYCAMORE 2025 LLC,CONVENTUS LLC,1801 S SYCAMORE AVE,2024-12-30,1500000,1769712
643,COCHRAN VENTURES LLC,CENTER STREET LNDG VIII SPE LL,802 S COCHRAN AVE,2024-12-30,1760000,531187
644,LYONZDEN INVESTMENTS,ORCHARD FUNDING,7827 S HOBART BLVD,2024-12-30,620000,643499
645,18 GEORGETOWN LLC,GENESIS CAPITAL LLC,8307 GEORGETOWN AVE,2024-12-27,1400000,2109500
646,AHAVA PROPERTIES LLC,GENESIS CAPITAL LLC,5144 BUCHANAN ST,2024-12-27,879500,791287
647,KCBL PROPERTIES LLC,TEMPLE VIEW CAPITAL FUNDING LP,1542 W 84TH ST,2024-12-27,1800000,1440000
648,C & E INVESTMENTS INC,KIAVI FUNDING INC,1143 E 71ST ST,2024-12-27,490000,749900
649,4201 PICO INVESTMENT LLC,YB R/E PROPERTIES III LLC,1262 S VICTORIA AVE,2024-12-26,1250000,1000000
650,4201 PICO INVESTMENT LLC,YB R/E PROPERTIES II LLC,1261 CRENSHAW BLVD,2024-12-26,1250000,1000000
651,HARVARD ONE LLC,SPREO CAPITAL MANAGER LLC,3974 S HARVARD BLVD,2024-12-26,660000,840000
652,HANNUKA PROPERTIES LLC,JPMORGAN CHASE BANK NA,1123 S CRESCENT HEIGHTS BLVD,2024-12-26,1600000,1200000
653,MD SELECT PORTFOLIO LLC,COREVEST AMERICAN FIN LNDR LLC,4218 W 58TH PL,2024-12-26,840000,890500
654,KEYSTONE CAPITAL PARTNERS LLC,EASY STREET CAPITAL CA LLC,7609 ALVERSTONE AVE,2024-12-26,1500000,1492000
655,2768 ANCHOR LLC,MICHAEL AND JESSICA WACHT LIVI,2768 ANCHOR AVE,2024-12-24,2200000,1700000
656,C & D DEVELOPMENT LLC,CHANGE LENDING LLC,4307 CLINTON ST,2024-12-24,1000000,750000
657,STANLEY HILLS LLC,FUNDRISE LENDING LLC,1134 N WESTMORELAND AVE,2024-12-24,2750000,2475000
658,STANLEY HILLS LLC,FUNDRISE LENDING LLC,1138 N WESTMORELAND AVE,2024-12-24,2750000,2475000
659,BUNGALOWE LLC,PRIDECO LOANS INC,1785 CAMPUS RD,2024-12-24,1160000,1496000
660,MD SELECT PORTFOLIO LLC,COREVEST AMERICAN FIN LNDR LLC,1601 W 69TH ST,2024-12-24,775000,750000
661,BLACK DIAMOND CAPITAL LLC,ROYAL PACIFIC FUNDING CORP,1787 W 35TH ST,2024-12-23,850000,680000
662,FREETOWN HOLDINGS COMPANY,DIYA FINANCE LLC,4521 SATURN ST,2024-12-23,800000,856350
663,OCEAN DEVELOPMENT INC,FORGE TRUST CO,173 W 40TH PL,2024-12-23,560000,477000
664,HORIZON GOLDEN INVESTMENT LLC,ST LUKE PROPERTIES LLC,1008 E ADAMS BLVD,2024-12-23,615000,300000
665,HDS HAHSMORE LLC,KIAVI FUNDING INC,6046 MADDEN AVE,2024-12-23,491000,515100
666,CATERRA PROPERTY 3 LLC,SPREO CAPITAL MANAGER LLC,2843 FOLSOM ST,2024-12-23,750000,1890000
667,LA OPTIONS INC,DANCO INC,6710 4TH AVE,2024-12-23,580000,464000
668,3474 GREENWOOD AVE LLC,ANCHOR LOANS LP,3474 GREENWOOD AVE,2024-12-23,1400000,2393240
669,LLBR INVESTMENT LLC,CHANG FAMILY TRUST,4250 MCCONNELL BLVD,2024-12-23,1150000,675000
670,HMIC PROPERTIES LLC,FAMILY TRUST OF MITCHELL L TAU,2121 BAXTER ST,2024-12-23,910500,725000
671,ADEA LLC,ANCHOR LOANS LP,803 N ALFRED ST,2024-12-23,2050000,1725000
672,JMP INVESTMENTS INC,INVESTORS FIRST CHOICE,121 W 71ST ST,2024-12-23,578000,512000
673,COVENANT INVESTMENTS LLC,REYNOLDS FAMILY TRUST,1268 E 107TH ST,2024-12-23,400000,320000
674,ROYAL CHOICE OF BEVERLY HILLS LLC,AMWEST FUNDING CORP,321 S SAN VICENTE BLVD APT 207,2024-12-20,600000,450000
675,LESNY REAL ESTATE INC,ANCHOR LOANS LP,7832 CROYDON AVE,2024-12-20,1225000,1227500
676,RO72 LLC,CONVENTUS LLC,11906 S PARK AVE,2024-12-20,1610000,1818500
677,SIENA PACIFIC LLC,AMERITRUST MTG CORPORATION,855 WATERLOO ST,2024-12-20,1200000,900000
678,8636 EDWIN LLC,SPREO CAPITAL MANAGER LLC,8636 EDWIN DR,2024-12-20,2300000,3178000
679,REAL ONE ESTATE LLC,CENTER STREET LNDG VIII SPE LL,1745 CAMINO PALMERO ST APT 537,2024-12-20,410000,383222
680,EVEREST ASSETS LLC,KIAVI FUNDING INC,7560 HOLLYWOOD BLVD APT 106,2024-12-20,687500,715000
681,AVILAS PROPERTY INVESTMENTS LLC,INVESTORS FIRST CHOICE,8710 HICKORY ST,2024-12-20,440000,350000
682,3 JAYS PROPERTIES LLC,NEW WAVE LENDING GROUP INC,4723 PICKFORD ST,2024-12-19,1275000,828750
683,2758 BARRINGTON HOLDING LLC,HL3 SIERRA LLC,2758 S BARRINGTON AVE,2024-12-19,1210000,1457800
684,50 PLUS INC,COREVEST AMERICAN FIN LNDR LLC,3273 TILDEN AVE,2024-12-19,1300000,1316300
685,NO ORDINARY PROPERTIES LLC,CROSSCOUNTRY MORTGAGE LLC,10350 WILSHIRE BLVD APT 804,2024-12-19,2075000,1452500
686,PULL PROPERTY INVESTMENTS LLC,BENCH EQUITY LLC,5241 SUMNER AVE,2024-12-19,1100000,1110000
687,613 E 83RD ST OWNER LLC,LOAN FUNDER LLC,613 E 83RD ST,2024-12-19,650000,625500
688,ALISON WHITE HOMES LLC,GENESIS CAPITAL LLC,8033 EL MANOR AVE,2024-12-18,1930000,3300000
689,AMI CAPITAL LLC,QUANTA FINANCE INC,1201 MONTECITO DR,2024-12-18,1075000,1255000
690,OCEAN DEVELOPMENT INC,KATHLEEN ESPINOZA TRUST,241 E 43RD PL,2024-12-17,575000,517000
691,NEW HAMSTER LLC,STEVEN E FISHMAN TRUST,4772 TWINING ST,2024-12-17,652000,500000
